,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
101,Sapyeong Station,70주,고터맛집,고속버스터미널맛집,파미에스테이션맛집,파미에스테이션,서울의모든것,서울여행,고터맛집추천,고터꽃시장,고터카페,고터지하상가,반포맛집,반포맛집추천,반포역맛집,신반포맛집,사평맛집,교대맛집,교대맛집추천,교대역맛집,잠원맛집,잠원역맛집,센트럴시티맛집,9호선맛집,사평역맛집,서초맛집,서초맛집추천,서초구맛집,직장인맛집,점심맛집,휴게소맛집
102,Sapyeong Station,76주,통속으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Sapyeong Station,80주,레드스톤,레드스톤아크로점,서초아크로비스타,아크로비스타맛집,교대맛집,고속터미널맛집,반포맛집,강남맛집,맛스타그램,먹스타그램,먹방,맛집,서울교대맛집,법원맛집,교대역맛집,교대파스타,교대레스토랑,맞팔,사평역맛집,고속터미널역맛집,반포역맛집,교대스테이크,서초스테이크,,,,,,
104,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Sapyeong Station,Error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,
