,station,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
496,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,즉석떡볶이,홍대고기집,삼겹살맛집,합정고기집,냉삼초밥,밥블레스유,합정역맛집,JMT,차돌박이,외식하는날,,,,,,,,,,,,,,,,,,,,,,,,
497,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대데이트,합정삼겹살,오겹살맛집,이영자맛집,외식하는날,홍대맛집탐방,송가인,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Seonyudo Station,5주,선유도역,9호선맛집,선유도역맛집,선유도바다식당,바다식당,선유도5번출구바로앞,jmt,ootd,선팔,맞팔,선팔하면맞팔,좋아요반사,회포차,회식장소,먹스타그램,먹스타,먹스타맞팔,맛집,맛집추천,맛스타그램,존맛탱집,존맛집,회,도다리회,광어회,우럭회,연어회,,,,,,,,,,,
499,Seonyudo Station,5주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,이영자맛집,선유도,홍대맛집추천,오겹살맛집,합정동맛집,홍대맛집베스트,서교동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,송가인,찐맛집,합정데이트,상수동맛집,합정동맛집,홍대고기집,영등포맛집,홍대맛집탐방,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,즉석떡볶이,합정고기집,합정데이트,이영자맛집,외식하는날,이영자,서교동맛집,연남동맛집,,,,,,,,,,,,,,,,,,,,,,,,,
503,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,차돌박이,즉석떡볶이,연남동맛집,외식하는날삼겹살,홍대맛집,송가인,삼겹살,외식하는날송가인,외식하는날,이영자맛집,,,,,,,,,,,,,,,,,,,,,,,,
504,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날삼겹살,이영자,이영자맛집,송가인,홍대맛집베스트,서교동맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,삼겹살맛집,오겹살,송가인맛집,합정고기집,이영자맛집,차돌박이,JMT,홍대맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,
506,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,선유도,외식하는날송가인,맛집,홍대삼겹살,냉삼초밥,서교동맛집,홍대맛집베스트,합정삼겹살,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,외식하는날,홍대맛집탐방,홍대맛집추천,영등포맛집,선유도,합정데이트,합정고기집,찐맛집,합정역맛집,합정맛집추천,,,,,,,,,,,,,,,,,,,,,,,,
508,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집추천,오겹살맛집,찐맛집,외식하는날맛집,홍대데이트,상수동맛집,합정맛집추천,존맛탱,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집베스트10,홍대맛집베스트,오겹살,합정고기집,이영자맛집,차돌박이,홍대맛집,즉석떡볶이,송가인맛집,냉삼초밥,,,,,,,,,,,,,,,,,,,,,,,,
510,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,홍대맛집탐방,영등포맛집,홍대맛집베스트,외식하는날송가인,맛집스타그램,홍대데이트,외식하는날맛집,밥블레스유,합정삼겹살,합정동맛집,,,,,,,,,,,,,,,,,,,,,,,,
511,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,송가인,맛집스타그램,홍대고기집,영등포맛집,외식하는날송가인,비빔국수,선유도,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Seonyudo Station,5주,3133,삼일삼삼,선유도와인,토마토카프레제,선유도역맛집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Seonyudo Station,5주,한강에서자전거타기,덥다더워,점점체력이좋아짐,신난다,기분좋음,좋은사람들과,샐러디카페,선유도역맛집,샐러드와랩,착즙쥬스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,영등포맛집,밥블레스유,선유도,합정고기집,상수동맛집,삼겹살맛집,JMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,합정동맛집,상수동맛집,합정고기집,비빔국수,홍대맛집베스트,오겹살맛집,연남동맛집,당산맛집,이영자,,,,,,,,,,,,,,,,,,,,,,,,,
516,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,합정고기집,상수동맛집,합정동맛집,홍대맛집베스트,존맛탱,영등포맛집,오겹살맛집,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Seonyudo Station,5주,양평동,또순이네,선유도맛집,선유도역맛집,양평동맛집,된장찌개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,서교동맛집,합정데이트,홍대맛집,삼겹살맛집,JMT,밥블레스유,이영자,맛집스타그램,합정맛집추천,,,,,,,,,,,,,,,,,,,,,,,,,
519,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,연남동맛집,영등포맛집,비빔국수,서교동맛집,밥블레스유,차돌박이,홍대맛집베스트,오겹살,JMT,,,,,,,,,,,,,,,,,,,,,,,,,
520,Seonyudo Station,5주,천이오겹살,합정맛집,선유도맛집,선유도역맛집,오겹살,삼겹살,연남동맛집,홍대데이트,홍대맛집베스트10,냉삼초밥,홍대맛집,삼겹살맛집,영등포맛집,,,,,,,,,,,,,,,,,,,,,,,,,
