,station,name,review,category,link
2532,Anguk Station,라렌느,124,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1539766712&query=%EB%9D%BC%EB%A0%8C%EB%8A%90
2533,Anguk Station,고향풍천장어,122,"장어,먹장어요리",https://store.naver.com/restaurants/detail?entry=ple&id=17926402&query=%EA%B3%A0%ED%96%A5%ED%92%8D%EC%B2%9C%EC%9E%A5%EC%96%B4
2534,Anguk Station,리장수 라운지,122,와인,https://store.naver.com/restaurants/detail?entry=ple&id=936122322&query=%EB%A6%AC%EC%9E%A5%EC%88%98%20%EB%9D%BC%EC%9A%B4%EC%A7%80
2535,Anguk Station,카카듀 인사점,120,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=36305736&query=%EC%B9%B4%EC%B9%B4%EB%93%80%20%EC%9D%B8%EC%82%AC%EC%A0%90
2536,Anguk Station,둘레골 한정식,120,한정식,https://store.naver.com/restaurants/detail?entry=ple&id=35464100&query=%EB%91%98%EB%A0%88%EA%B3%A8%20%ED%95%9C%EC%A0%95%EC%8B%9D
2537,Anguk Station,하누소 인사점,118,소고기구이,https://store.naver.com/restaurants/detail?entry=ple&id=13348664&query=%ED%95%98%EB%88%84%EC%86%8C%20%EC%9D%B8%EC%82%AC%EC%A0%90
2538,Anguk Station,합 원서점,118,떡카페,https://store.naver.com/restaurants/detail?entry=ple&id=1132601320&query=%ED%95%A9%20%EC%9B%90%EC%84%9C%EC%A0%90
2539,Anguk Station,천하보쌈,118,"족발,보쌈",https://store.naver.com/restaurants/detail?entry=ple&id=13575188&query=%EC%B2%9C%ED%95%98%EB%B3%B4%EC%8C%88
2540,Anguk Station,종로찌개마을,115,"찌개,전골",https://store.naver.com/restaurants/detail?entry=ple&id=11835768&query=%EC%A2%85%EB%A1%9C%EC%B0%8C%EA%B0%9C%EB%A7%88%EC%9D%84
2541,Anguk Station,도트 블랭킷,115,브런치,https://store.naver.com/restaurants/detail?entry=ple&id=1031190341&query=%EB%8F%84%ED%8A%B8%20%EB%B8%94%EB%9E%AD%ED%82%B7
2542,Anguk Station,북창동순두부 인사동점,109,두부요리,https://store.naver.com/restaurants/detail?entry=ple&id=839558944&query=%EB%B6%81%EC%B0%BD%EB%8F%99%EC%88%9C%EB%91%90%EB%B6%80%20%EC%9D%B8%EC%82%AC%EB%8F%99%EC%A0%90
2543,Anguk Station,호아드 식당,109,한식,https://store.naver.com/restaurants/detail?entry=ple&id=1098901443&query=%ED%98%B8%EC%95%84%EB%93%9C%20%EC%8B%9D%EB%8B%B9
2544,Anguk Station,지유가오카핫초메 삼청점,109,케이크전문,https://store.naver.com/restaurants/detail?entry=ple&id=31346781&query=%EC%A7%80%EC%9C%A0%EA%B0%80%EC%98%A4%EC%B9%B4%ED%95%AB%EC%B4%88%EB%A9%94%20%EC%82%BC%EC%B2%AD%EC%A0%90
2545,Anguk Station,만찬,108,바(BAR),https://store.naver.com/restaurants/detail?entry=ple&id=1698654577&query=%EB%A7%8C%EC%B0%AC
2546,Anguk Station,취우,108,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=1573590946&query=%EC%B7%A8%EC%9A%B0
2547,Anguk Station,낙원동고깃집,106,"육류,고기요리",https://store.naver.com/restaurants/detail?entry=ple&id=854960768&query=%EB%82%99%EC%9B%90%EB%8F%99%EA%B3%A0%EA%B9%83%EC%A7%91
2548,Anguk Station,별궁식당,106,한식,https://store.naver.com/restaurants/detail?entry=ple&id=11727525&query=%EB%B3%84%EA%B6%81%EC%8B%9D%EB%8B%B9
2549,Anguk Station,부산식당,106,한식,https://store.naver.com/restaurants/detail?entry=ple&id=11727543&query=%EB%B6%80%EC%82%B0%EC%8B%9D%EB%8B%B9
2550,Anguk Station,산체스 막걸리,105,"전통,민속주점",https://store.naver.com/restaurants/detail?entry=ple&id=31542976&query=%EC%82%B0%EC%B2%B4%EC%8A%A4%20%EB%A7%89%EA%B1%B8%EB%A6%AC
2551,Anguk Station,한옥찻집,103,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=1764065667&query=%ED%95%9C%EC%98%A5%EC%B0%BB%EC%A7%91
2552,Anguk Station,스타벅스 안국점,102,카페,https://store.naver.com/restaurants/detail?entry=ple&id=35194782&query=%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%20%EC%95%88%EA%B5%AD%EC%A0%90
2553,Anguk Station,인사동찻집,100,차,https://store.naver.com/restaurants/detail?entry=ple&id=13151902&query=%EC%9D%B8%EC%82%AC%EB%8F%99%EC%B0%BB%EC%A7%91
2554,Anguk Station,도마 유즈라멘,100,일본식라면,https://store.naver.com/restaurants/detail?entry=ple&id=1557353265&query=%EB%8F%84%EB%A7%88%20%EC%9C%A0%EC%A6%88%EB%9D%BC%EB%A9%98
2555,Anguk Station,숙녀미용실 카페앤펍,99,"카페,디저트",https://store.naver.com/restaurants/detail?entry=ple&id=836512894&query=%EC%88%99%EB%85%80%EB%AF%B8%EC%9A%A9%EC%8B%A4%20%EC%B9%B4%ED%8E%98%EC%95%A4%ED%8E%8D
